organisation_number,primary_sdg,primary_sdg_title,secondary_sdgs,focus_summary,sdg_confidence,overseas_engagement,engagement_confidence,tag_model
282756,16,"Peace, Justice and Strong Institutions",4,"Develops capacity of Christian leaders in Africa through training, equipment and support.",high,funds_partners_abroad,high,claude-haiku-4-5
282910,16,"Peace, Justice and Strong Institutions",1,Advances Ethiopian Orthodox faith; ships relief aid to Ethiopia and Caribbean islands.,medium,operates_directly_abroad,medium,claude-haiku-4-5
282938,15,Life on Land,4,"Promotes ornithology and conserves birds in Middle East, Caucasus and Central Asia through research.",high,operates_directly_abroad,high,claude-haiku-4-5
283003,1,No Poverty,,Makes grants for general charitable purposes at trustees' discretion.,low,uk_fundraising_only,low,claude-haiku-4-5
283163,2,Zero Hunger,,Advances agriculture by maintaining and improving Angora goat breed in the UK.,medium,uk_fundraising_only,high,claude-haiku-4-5
283254,1,No Poverty,,Makes grants to charities for general charitable purposes.,low,uk_fundraising_only,low,claude-haiku-4-5
283331,1,No Poverty,,Distributes capital and income to charities and charitable purposes.,low,uk_fundraising_only,low,claude-haiku-4-5
283337,4,Quality Education,,Provides education scholarships and professional development grants to Pakistani citizens.,high,uk_fundraising_only,high,claude-haiku-4-5
283338,4,Quality Education,,Awards scholarships to Indian nationals in India for study and research in arts and humanities.,high,funds_partners_abroad,high,claude-haiku-4-5
283350,3,Good Health and Well-being,5,Provides peer support and resources for people with disabilities regarding sexual health.,high,uk_fundraising_only,high,claude-haiku-4-5
283397,4,Quality Education,,Funds Yeshiva (Jewish school) and education programs in Israel and the UK.,high,funds_partners_abroad,high,claude-haiku-4-5
283484,4,Quality Education,,Promotes education in music through Chamber Orchestra of Europe performances and recordings.,high,operates_directly_abroad,high,claude-haiku-4-5
283533,16,"Peace, Justice and Strong Institutions",1; 3,"Supports Christian mission, relief work and education in Uganda and mental health in UK.",high,operates_directly_abroad,high,claude-haiku-4-5
283563,1,No Poverty,3; 4,"Funds hospitals, orphanages and schools in Malawi to relieve poverty and support education.",high,funds_partners_abroad,high,claude-haiku-4-5
283579,1,No Poverty,8,Finances self-help development projects in Third World countries through established NGOs.,high,funds_partners_abroad,high,claude-haiku-4-5
283608,16,"Peace, Justice and Strong Institutions",1,Supports Christian ministries and provides relief to individuals in need.,low,uk_fundraising_only,low,claude-haiku-4-5
283670,4,Quality Education,17,Advances knowledge of development processes in developing countries through research and conferences.,medium,operates_directly_abroad,medium,claude-haiku-4-5
283684,1,No Poverty,17,Relieves poverty in India through cultural activities and charitable purposes.,low,funds_partners_abroad,low,claude-haiku-4-5
283692,16,"Peace, Justice and Strong Institutions",4,Advances Christian faith and supports Kenya Bible School with practical spiritual assistance.,medium,operates_directly_abroad,medium,claude-haiku-4-5
283707,16,"Peace, Justice and Strong Institutions",4,"Advances Christian religion through worship, preaching, seminars and spiritual education.",medium,uk_fundraising_only,high,claude-haiku-4-5
283715,16,"Peace, Justice and Strong Institutions",1,Supports Christian gatherings in British Isles and overseas; relieves poverty among members.,medium,funds_partners_abroad,medium,claude-haiku-4-5
283733,15,Life on Land,,"Cares for sick and injured birds of prey and owls, releasing them back to the wild.",high,uk_fundraising_only,high,claude-haiku-4-5
283763,4,Quality Education,8,Provides scholarships to ACCA accounting students for exam fees and professional development.,high,uk_fundraising_only,high,claude-haiku-4-5
283764,4,Quality Education,16,Funds Rabbinical Seminary in Israel for Rabbi training and religious education.,high,funds_partners_abroad,high,claude-haiku-4-5
283798,3,Good Health and Well-being,1,Provides eye-care operations and medical facilities for disabled persons; relief of poverty.,medium,uk_fundraising_only,high,claude-haiku-4-5
283799,1,No Poverty,2; 3,"Further relief of poverty, hunger, distress and sickness through Lions Clubs International.",medium,operates_directly_abroad,medium,claude-haiku-4-5
283812,16,"Peace, Justice and Strong Institutions",1; 4,Advances Christian faith and relieves poverty and education needs in British Isles or elsewhere.,medium,funds_partners_abroad,medium,claude-haiku-4-5
284117,16,"Peace, Justice and Strong Institutions",1,Advances Christian faith; supports needy families and orphanage work in Hungary.,high,operates_directly_abroad,high,claude-haiku-4-5
284262,4,Quality Education,,"Advances education through arts including drama, ballet, music through theatrical productions.",high,uk_fundraising_only,high,claude-haiku-4-5
284286,3,Good Health and Well-being,4; 10,Funds mental health research and supports psychiatrists from Eastern Europe and developing countries.,high,funds_partners_abroad,high,claude-haiku-4-5
284306,1,No Poverty,,Makes grants to charities and organizations at trustees' discretion.,low,uk_fundraising_only,low,claude-haiku-4-5
284334,4,Quality Education,,Educates and trains music librarians in UK and Ireland; encourages musicology research.,high,uk_fundraising_only,high,claude-haiku-4-5
284408,3,Good Health and Well-being,4,"Supports Jamaica Heart Foundation with cardiology research, training and health education.",high,funds_partners_abroad,high,claude-haiku-4-5
284461,3,Good Health and Well-being,1,"Provides medical equipment, prosthetics, wheelchairs and medicines to needy people in Poland.",high,funds_partners_abroad,high,claude-haiku-4-5
284544,1,No Poverty,4,"Provides monthly income for widows in Bardai region of Gujarat, India and supports education.",high,funds_partners_abroad,high,claude-haiku-4-5
284546,3,Good Health and Well-being,17,Sets standards for spiritual healing and supports spiritual healers in financial need.,low,uk_fundraising_only,high,claude-haiku-4-5
284579,4,Quality Education,1,Makes grants to charities promoting arts education in schools and relief of poverty.,high,uk_fundraising_only,high,claude-haiku-4-5
284602,1,No Poverty,16,Provides advice to Horn of Africa refugees in UK and relief to displaced people in Ethiopia.,high,operates_directly_abroad,high,claude-haiku-4-5
284630,1,No Poverty,3,"Makes grants for life cycle events, professional development and support for persecuted individuals.",medium,uk_fundraising_only,high,claude-haiku-4-5
284649,4,Quality Education,11; 16,"Maintains church, supports student education, village activities and international charities.",medium,funds_partners_abroad,medium,claude-haiku-4-5
284654,4,Quality Education,8,"Funds science education scholarships for excellent students in India, Pakistan and worldwide.",high,funds_partners_abroad,high,claude-haiku-4-5
284717,3,Good Health and Well-being,1; 4,Supports St Francis Hospital and health projects in Zambia; funds education and poverty relief.,high,funds_partners_abroad,high,claude-haiku-4-5
284733,16,"Peace, Justice and Strong Institutions",,Distributes funds to advance Christian religion worldwide through charitable societies.,low,operates_directly_abroad,low,claude-haiku-4-5
284775,16,"Peace, Justice and Strong Institutions",1; 3,"Makes grants to advance Christianity, relieve poverty and sickness.",medium,uk_fundraising_only,medium,claude-haiku-4-5
284789,16,"Peace, Justice and Strong Institutions",1; 3,Spreads Christian gospel through UK churches and financially supports overseas missionaries.,high,operates_directly_abroad,high,claude-haiku-4-5
284826,1,No Poverty,,Raises money and makes grants to relieve poverty for individuals and institutions.,medium,uk_fundraising_only,medium,claude-haiku-4-5
284845,4,Quality Education,1; 10,Supports street children in Nepal to attend school; funds classrooms in India for Tibetan children.,high,operates_directly_abroad,high,claude-haiku-4-5
284934,13,Climate Action,14; 15,"Funds education and research on climate change, forests, oceans and sustainable development globally.",high,operates_directly_abroad,high,claude-haiku-4-5
284986,16,"Peace, Justice and Strong Institutions",1; 3,"Advances Christian religion and relieves poverty, sickness and elderly care abroad and at home.",medium,operates_directly_abroad,medium,claude-haiku-4-5
285013,4,Quality Education,9,"Promotes science of hydrography and related sciences globally through education, research and conferences.",high,operates_directly_abroad,high,claude-haiku-4-5
285014,1,No Poverty,5; 10,"Supports Pandita Ramabai Mukti Mission providing food, shelter and training for widows and orphan girls in India.",high,funds_partners_abroad,high,claude-haiku-4-5
285045,4,Quality Education,11,Educates public about hand fans globally; funds museum conservation and research publication.,high,operates_directly_abroad,high,claude-haiku-4-5
285062,16,"Peace, Justice and Strong Institutions",1,Makes grants to Orthodox Jewish religious institutions and youth programs,low,uk_fundraising_only,low,claude-haiku-4-5
285068,16,"Peace, Justice and Strong Institutions",1,Seminars and retreats advancing Inayat Khan teachings and Islamic values,low,uk_fundraising_only,low,claude-haiku-4-5
285160,16,"Peace, Justice and Strong Institutions",1,Supports persecuted Christians in former Communist and Muslim lands,medium,operates_directly_abroad,medium,claude-haiku-4-5
285376,4,Quality Education,5,Educates and supports Orthodox Jewish girls,medium,uk_fundraising_only,low,claude-haiku-4-5
285413,1,No Poverty,3; 4,"Poverty relief and health, education support in third-world communities",medium,funds_partners_abroad,medium,claude-haiku-4-5
285429,16,"Peace, Justice and Strong Institutions",1,Distributes investment income to Jewish religious and poverty-relief causes,low,uk_fundraising_only,low,claude-haiku-4-5
285450,16,"Peace, Justice and Strong Institutions",,Teaches Christian theology and faith principles,low,uk_fundraising_only,low,claude-haiku-4-5
285451,4,Quality Education,8,Funds vocational training and education for Basotho people,high,funds_partners_abroad,high,claude-haiku-4-5
285474,16,"Peace, Justice and Strong Institutions",4,Organizes evangelical Christian outreach in UK and worldwide,medium,operates_directly_abroad,high,claude-haiku-4-5
285475,16,"Peace, Justice and Strong Institutions",1,Funds synagogue and Jewish religious institutions in UK and abroad,medium,funds_partners_abroad,medium,claude-haiku-4-5
285490,4,Quality Education,,Funds educational development at Peterhouse school in Zimbabwe,high,funds_partners_abroad,high,claude-haiku-4-5
285517,1,No Poverty,,Discretionary charitable trust with flexible charitable purposes,low,uk_fundraising_only,low,claude-haiku-4-5
285533,16,"Peace, Justice and Strong Institutions",1,Makes grants to Orthodox Jewish institutions,medium,uk_fundraising_only,low,claude-haiku-4-5
285627,4,Quality Education,11,Advances archaeological education through research and heritage conservation,high,operates_directly_abroad,high,claude-haiku-4-5
285696,16,"Peace, Justice and Strong Institutions",4,Makes grants to Christian educational and charitable institutions,medium,funds_partners_abroad,medium,claude-haiku-4-5
285760,1,No Poverty,3; 16,Partnership with DRC Anglican Church for poverty relief and community development,high,operates_directly_abroad,high,claude-haiku-4-5
285801,3,Good Health and Well-being,1,Provides medical aid and poverty relief to Zoroastrian community,medium,uk_fundraising_only,low,claude-haiku-4-5
285908,1,No Poverty,3; 16,International development and emergency relief for children in poorest regions,high,operates_directly_abroad,high,claude-haiku-4-5
285952,4,Quality Education,,Promotes contemporary music and arts education to the public,high,uk_fundraising_only,high,claude-haiku-4-5
286025,4,Quality Education,3; 1,Educates Muslim women and provides health and poverty support,medium,operates_directly_abroad,medium,claude-haiku-4-5
286076,1,No Poverty,3; 4,"Funds small-scale projects addressing poverty, health, education in poor countries",high,funds_partners_abroad,high,claude-haiku-4-5
286225,3,Good Health and Well-being,,Prevents and treats blindness through sight conservation programs,high,uk_fundraising_only,low,claude-haiku-4-5
286230,16,"Peace, Justice and Strong Institutions",4,Funds Orthodox Jewish institutions and educational programs in UK and Israel,medium,funds_partners_abroad,high,claude-haiku-4-5
286242,3,Good Health and Well-being,1,"Supports leprosy treatment and community development in Rufiji, Tanzania",high,operates_directly_abroad,high,claude-haiku-4-5
286247,4,Quality Education,3; 1,Funds Muslim school in India providing education for disadvantaged children,high,funds_partners_abroad,high,claude-haiku-4-5
286384,4,Quality Education,,Advances education and appreciation of theatre and audio-visual arts,high,uk_fundraising_only,high,claude-haiku-4-5
286389,1,No Poverty,3,Provides poverty and health relief through Order of St John projects across Europe,high,operates_directly_abroad,high,claude-haiku-4-5
286469,1,No Poverty,16; 4,Relieves poverty for settlers' relatives and supports persecuted Christians worldwide,high,funds_partners_abroad,high,claude-haiku-4-5
286470,3,Good Health and Well-being,4; 1,"Builds and supports hospitals, schools, water wells in Uganda and India",high,operates_directly_abroad,high,claude-haiku-4-5
286487,10,Reduced Inequalities,3,Provides inclusive sailing programs for disabled and able-bodied people,high,uk_fundraising_only,high,claude-haiku-4-5
286615,16,"Peace, Justice and Strong Institutions",1,"Religious community providing spiritual direction, counselling, and mission work",medium,uk_fundraising_only,low,claude-haiku-4-5
286631,4,Quality Education,10,Funds education for refugees and former prisoners in Southern Africa,high,funds_partners_abroad,high,claude-haiku-4-5
286738,3,Good Health and Well-being,,Raises funds for hospitals and medical research in Israel,high,funds_partners_abroad,high,claude-haiku-4-5
286965,4,Quality Education,16,Develops accessible theological education and Christian literature worldwide,high,operates_directly_abroad,high,claude-haiku-4-5
286967,3,Good Health and Well-being,4,Advances health and healthcare through research and improvement projects in UK,high,uk_fundraising_only,high,claude-haiku-4-5
286986,4,Quality Education,,Makes grants to educational institutions worldwide,medium,funds_partners_abroad,high,claude-haiku-4-5
286987,1,No Poverty,,Discretionary charitable fund for charitable purposes,low,uk_fundraising_only,low,claude-haiku-4-5
287041,10,Reduced Inequalities,3,Supports blind community through Sikh religious and cultural programs,medium,uk_fundraising_only,medium,claude-haiku-4-5
287071,1,No Poverty,10; 16,Brings relief and support to refugees in Greek camps and across Europe,high,operates_directly_abroad,high,claude-haiku-4-5
287106,10,Reduced Inequalities,3,Provides snowsports opportunities for cerebral palsied and motor-impaired people,high,uk_fundraising_only,high,claude-haiku-4-5
287160,4,Quality Education,15,Advances landscape research and education through publications and conferences,high,operates_directly_abroad,high,claude-haiku-4-5
287331,4,Quality Education,,Promotes philosophical study and research on practical ethical issues,high,uk_fundraising_only,medium,claude-haiku-4-5
287362,4,Quality Education,16,Advances Christian education and spiritual development among youth,medium,uk_fundraising_only,medium,claude-haiku-4-5
287405,16,"Peace, Justice and Strong Institutions",,Supports full-time Christian workers and religious advancement,medium,uk_fundraising_only,medium,claude-haiku-4-5
287474,4,Quality Education,,Provides financial assistance for education to deserving candidates,high,uk_fundraising_only,high,claude-haiku-4-5
287564,3,Good Health and Well-being,4; 1,"Provides welfare, education, and religious support within Commonwealth communities",medium,operates_directly_abroad,high,claude-haiku-4-5
287785,10,Reduced Inequalities,8,Provides employment support and skills training for disabled and disadvantaged people,high,uk_fundraising_only,high,claude-haiku-4-5
287786,4,Quality Education,11,"Advances education through archaeology, heritage, culture, and science",high,uk_fundraising_only,medium,claude-haiku-4-5
287817,4,Quality Education,11,Preserves and promotes Indian and Tibetan cultural heritage globally,high,operates_directly_abroad,high,claude-haiku-4-5
287857,4,Quality Education,16,Provides outdoor and residential activities for Christian youth development,medium,operates_directly_abroad,medium,claude-haiku-4-5
287915,1,No Poverty,16,Provides Christian ministry and material aid to vulnerable people abroad,medium,operates_directly_abroad,high,claude-haiku-4-5
287978,4,Quality Education,1,Funds education and artistic development for performers and artists,high,uk_fundraising_only,high,claude-haiku-4-5
288020,16,"Peace, Justice and Strong Institutions",1,Funds Orthodox Jewish institutions and poverty-relief causes in UK and abroad,medium,funds_partners_abroad,medium,claude-haiku-4-5
288022,4,Quality Education,9,Advances architectural education and knowledge across Commonwealth countries,high,operates_directly_abroad,high,claude-haiku-4-5
288023,3,Good Health and Well-being,1; 4,"Provides poverty relief, medical aid, and education support in Israel",high,funds_partners_abroad,high,claude-haiku-4-5
288061,3,Good Health and Well-being,1,Supports hospitals and medical education in Tanzania and African countries,high,operates_directly_abroad,high,claude-haiku-4-5
288112,4,Quality Education,3,Advances scientific research and education on free radicals in medicine,high,uk_fundraising_only,medium,claude-haiku-4-5
288158,4,Quality Education,3; 16,"Sisters providing education, care, and religious mission work domestically and overseas",high,operates_directly_abroad,high,claude-haiku-4-5
288179,4,Quality Education,16,"Promotes Biblical Christianity through church, education, and media ministries",medium,uk_fundraising_only,medium,claude-haiku-4-5
288180,3,Good Health and Well-being,10,"Promotes healthcare, social services, and economic security for older people worldwide",high,operates_directly_abroad,high,claude-haiku-4-5
288206,4,Quality Education,,Promotes education in the works of Italian dramatist Luigi Pirandello.,low,uk_fundraising_only,low,claude-haiku-4-5
288217,4,Quality Education,1,"Funds education for poor and disadvantaged children in Delhi, India.",high,funds_partners_abroad,high,claude-haiku-4-5
288229,1,No Poverty,16; 4,Makes grants to Christian organizations and relieves poverty.,medium,uk_fundraising_only,medium,claude-haiku-4-5
288293,1,No Poverty,,General charitable trust supporting projects in UK and abroad.,low,funds_partners_abroad,low,claude-haiku-4-5
288310,1,No Poverty,,General charitable trust with trustees' discretion on purposes.,low,uk_fundraising_only,low,claude-haiku-4-5
288388,6,Clean Water and Sanitation,3; 1,Funds clean water and sanitation projects in rural Uganda.,high,funds_partners_abroad,high,claude-haiku-4-5
288467,16,"Peace, Justice and Strong Institutions",,Supports charitable works of Roman Catholic religious organization.,low,funds_partners_abroad,medium,claude-haiku-4-5
288585,1,No Poverty,4,Supports organizations abroad with poverty relief and education.,high,funds_partners_abroad,high,claude-haiku-4-5
288616,1,No Poverty,,General charitable trust providing grants worldwide.,low,funds_partners_abroad,low,claude-haiku-4-5
288686,4,Quality Education,,Promotes education and research into family genealogy.,medium,uk_fundraising_only,medium,claude-haiku-4-5
288700,4,Quality Education,,Funds Jewish religious educational institution in Israel.,high,funds_partners_abroad,high,claude-haiku-4-5
288701,6,Clean Water and Sanitation,3; 1,"Provides clean water, sanitation and hygiene services globally.",high,operates_directly_abroad,high,claude-haiku-4-5
288730,1,No Poverty,,Grant-making trust supporting selected charities worldwide.,low,funds_partners_abroad,low,claude-haiku-4-5
288859,4,Quality Education,8,Provides education and bursaries in treasury management.,medium,operates_directly_abroad,medium,claude-haiku-4-5
288866,1,No Poverty,4; 3,Relieves poverty and advances education and health in Bolivia.,high,funds_partners_abroad,high,claude-haiku-4-5
288877,8,Decent Work and Economic Growth,4,Promotes management science and workplace efficiency.,medium,uk_fundraising_only,medium,claude-haiku-4-5
288950,1,No Poverty,,Makes grants to Jewish and other charities.,low,uk_fundraising_only,low,claude-haiku-4-5
289004,4,Quality Education,8,Provides education and professional development grants to Burmese residents.,medium,operates_directly_abroad,medium,claude-haiku-4-5
289036,3,Good Health and Well-being,4; 1,Strengthens local churches' capacity to meet community health needs.,high,operates_directly_abroad,high,claude-haiku-4-5
289175,1,No Poverty,4; 16,Supports missions and provides relief to poor and communities.,medium,operates_directly_abroad,medium,claude-haiku-4-5
289194,1,No Poverty,16,Promotes Sufism and provides charitable relief to those in hardship.,medium,uk_fundraising_only,medium,claude-haiku-4-5
289294,4,Quality Education,,Advances musical education and supports chamber orchestra performance.,high,uk_fundraising_only,high,claude-haiku-4-5
289344,15,Life on Land,,Rescues and rehomes Great Dane dogs in need.,high,uk_fundraising_only,high,claude-haiku-4-5
289433,4,Quality Education,,Provides educational support through charitable grants.,low,uk_fundraising_only,low,claude-haiku-4-5
289453,8,Decent Work and Economic Growth,4; 10,Supports youth employment initiatives through research and activities.,high,operates_directly_abroad,high,claude-haiku-4-5
289483,4,Quality Education,,Makes grants to Jewish educational institutions.,low,funds_partners_abroad,low,claude-haiku-4-5
289541,3,Good Health and Well-being,4,Advances ultrasound science and medical technology and education.,high,uk_fundraising_only,high,claude-haiku-4-5
289546,1,No Poverty,4,Funds care and education of orphaned children in Malawi.,high,funds_partners_abroad,high,claude-haiku-4-5
289590,4,Quality Education,12,"Preserves and teaches traditional weaving, spinning and dyeing crafts.",high,uk_fundraising_only,high,claude-haiku-4-5
289605,4,Quality Education,,Promotes musical education and British music appreciation.,high,uk_fundraising_only,high,claude-haiku-4-5
289640,16,"Peace, Justice and Strong Institutions",,Promotes Christian religion in Tanzania.,medium,operates_directly_abroad,medium,claude-haiku-4-5
289648,3,Good Health and Well-being,1; 4,Provides medical services and education for underprivileged people in Asia.,high,operates_directly_abroad,high,claude-haiku-4-5
289649,4,Quality Education,,Provides educational support and scholarships at schools and college.,high,uk_fundraising_only,high,claude-haiku-4-5
289688,4,Quality Education,,Advances public education in culture and history of Britain and Sweden.,medium,uk_fundraising_only,medium,claude-haiku-4-5
289737,3,Good Health and Well-being,1,"Funds medical services at Mengo Hospital in Kampala, Uganda.",high,funds_partners_abroad,high,claude-haiku-4-5
289754,1,No Poverty,,Inactive charitable trust with no defined focus area.,low,uk_fundraising_only,low,claude-haiku-4-5
289761,1,No Poverty,,Makes charitable grants worldwide.,low,funds_partners_abroad,low,claude-haiku-4-5
289795,1,No Poverty,,Raises funds and makes grants to relieve poverty and support charities.,medium,uk_fundraising_only,medium,claude-haiku-4-5
289820,3,Good Health and Well-being,1; 16,Supports medical services and poverty relief at Mvumi Hospital in Tanzania.,high,funds_partners_abroad,high,claude-haiku-4-5
289838,3,Good Health and Well-being,1,Provides medical relief and ambulances to rural hospitals in Ghana.,high,operates_directly_abroad,high,claude-haiku-4-5
289862,4,Quality Education,16,Provides grants for missionary and theological education work.,high,operates_directly_abroad,high,claude-haiku-4-5
290018,1,No Poverty,4,"Provides relief, education and support to Mauritian people.",medium,funds_partners_abroad,medium,claude-haiku-4-5
290020,4,Quality Education,1,Makes donations to charitable and educational institutions.,low,uk_fundraising_only,low,claude-haiku-4-5
290056,1,No Poverty,4,Establishes orphanages and provides education in Bangladesh for poor children.,high,operates_directly_abroad,high,claude-haiku-4-5
290057,1,No Poverty,,Supports recognized UK charities through grants.,low,uk_fundraising_only,low,claude-haiku-4-5
290080,1,No Poverty,16; 4,Relieves poverty and provides education and religious support to Hindu communities.,medium,uk_fundraising_only,medium,claude-haiku-4-5
290198,1,No Poverty,4; 16,Provides relief to Indian Muslims and promotes education about Indian Muslim communities.,high,funds_partners_abroad,high,claude-haiku-4-5
290252,1,No Poverty,3; 4,"Runs orphanage providing care, education and medical services in Peru.",high,operates_directly_abroad,high,claude-haiku-4-5
290278,1,No Poverty,3; 4,Operates schools and provides medical services for poor and orphaned children.,high,operates_directly_abroad,high,claude-haiku-4-5
290283,1,No Poverty,4; 16,Provides educational and charitable support to Jewish communities in UK and abroad.,high,funds_partners_abroad,high,claude-haiku-4-5
290298,1,No Poverty,5; 16,Provides relief and education to women and children affected by conflict.,high,funds_partners_abroad,high,claude-haiku-4-5
290351,4,Quality Education,,Promotes fine arts education and establishes schools in Ireland.,high,operates_directly_abroad,high,claude-haiku-4-5
290371,4,Quality Education,10,Funds education program for deprived children and immigrants in Israel.,high,funds_partners_abroad,high,claude-haiku-4-5
290391,4,Quality Education,16,Provides grants for Jewish educational and cultural advancement.,high,operates_directly_abroad,high,claude-haiku-4-5
290396,16,"Peace, Justice and Strong Institutions",1,Supports Anglican dioceses' charitable work in Sierra Leone.,high,funds_partners_abroad,high,claude-haiku-4-5
290464,3,Good Health and Well-being,1,Prevents blindness and eye disease in Pakistan through funding and equipment.,high,funds_partners_abroad,high,claude-haiku-4-5
290469,3,Good Health and Well-being,4,Promotes anatomical sciences and advances medical education.,high,uk_fundraising_only,high,claude-haiku-4-5
290485,16,"Peace, Justice and Strong Institutions",4; 1,Provides legal aid and community support to Muslim community in England and Wales.,high,uk_fundraising_only,high,claude-haiku-4-5
290512,1,No Poverty,16,Provides relief to poor members of English church community in Paris.,high,funds_partners_abroad,high,claude-haiku-4-5
290533,1,No Poverty,4,Relieves poverty for individuals and communities in UK and developing countries.,high,funds_partners_abroad,high,claude-haiku-4-5
290535,3,Good Health and Well-being,1,Provides life-saving primary healthcare to people in conflict areas.,high,operates_directly_abroad,medium,claude-haiku-4-5
290544,4,Quality Education,3; 16,Operates Catholic schools and care homes; supports religious work.,medium,uk_fundraising_only,low,claude-haiku-4-5
290643,1,No Poverty,16,Provides financial support to persecuted Christians in Eastern Europe.,medium,operates_directly_abroad,medium,claude-haiku-4-5
290647,4,Quality Education,17,Promotes cultural understanding and study between UK and Italy.,high,operates_directly_abroad,high,claude-haiku-4-5
290654,4,Quality Education,17,Provides grants for Polish-language and culture studies in Poland.,high,operates_directly_abroad,high,claude-haiku-4-5
290702,4,Quality Education,8; 3,Provides technology education and employment support to young people.,high,uk_fundraising_only,high,claude-haiku-4-5
290704,4,Quality Education,3; 1,"Supports education, health, and development in Nkokoto village, Tanzania.",medium,operates_directly_abroad,high,claude-haiku-4-5
290729,4,Quality Education,9,Funds scholarships for UK scientists to study oceanography in Bermuda.,high,funds_partners_abroad,high,claude-haiku-4-5
290746,4,Quality Education,11; 1,"Supports rural education and community development near Auroville, India.",medium,operates_directly_abroad,high,claude-haiku-4-5
290753,16,"Peace, Justice and Strong Institutions",4,"Provides Christian training and teaching in UK, Europe, and Africa.",low,operates_directly_abroad,high,claude-haiku-4-5
290759,17,Partnerships for the Goals,,Supports and promotes foundations and institutions worldwide.,low,funds_partners_abroad,medium,claude-haiku-4-5
290766,4,Quality Education,17,Funds UK-Japan cultural and educational exchange projects.,high,funds_partners_abroad,high,claude-haiku-4-5
290767,1,No Poverty,10; 3,Provides international development and humanitarian relief for Jewish communities.,high,operates_directly_abroad,high,claude-haiku-4-5
290786,15,Life on Land,4,Educates public about cacti conservation and cultivation.,high,uk_fundraising_only,high,claude-haiku-4-5
290836,1,No Poverty,8; 2,Builds livelihoods and addresses poverty in East and West Africa.,high,operates_directly_abroad,high,claude-haiku-4-5
290866,4,Quality Education,9,Advances chemistry education through computer-aided reasoning systems.,high,uk_fundraising_only,high,claude-haiku-4-5
290905,16,"Peace, Justice and Strong Institutions",4; 3,Advances Christian faith through missionary training and education.,low,operates_directly_abroad,medium,claude-haiku-4-5
290917,1,No Poverty,3; 4,"Provides poverty relief, healthcare, and education support in Kolkata.",high,operates_directly_abroad,high,claude-haiku-4-5
290944,4,Quality Education,11,Preserves and displays British railway heritage for public education.,high,uk_fundraising_only,high,claude-haiku-4-5
290964,1,No Poverty,,Makes discretionary charitable donations across diverse causes.,low,uk_fundraising_only,low,claude-haiku-4-5
290992,3,Good Health and Well-being,1,"Prevents and treats disabling conditions in Africa, Asia, and UK.",high,operates_directly_abroad,high,claude-haiku-4-5
291009,1,No Poverty,3; 4,Supports diverse development work in underdeveloped countries.,low,funds_partners_abroad,low,claude-haiku-4-5
291040,3,Good Health and Well-being,4,Advances ophthalmic plastic surgery education and practice in Europe.,high,operates_directly_abroad,high,claude-haiku-4-5
291045,1,No Poverty,4,Supports education and relief of poverty for Lao persons in UK.,high,uk_fundraising_only,high,claude-haiku-4-5
291070,3,Good Health and Well-being,4; 1,"Supports education, healthcare, and religious charitable institutions.",low,funds_partners_abroad,high,claude-haiku-4-5
291107,3,Good Health and Well-being,8; 1,"Provides leprosy treatment, training, and livelihood support in South India.",high,operates_directly_abroad,high,claude-haiku-4-5
291130,4,Quality Education,,Produces opera performances and promotes music education.,high,uk_fundraising_only,high,claude-haiku-4-5
291143,4,Quality Education,17,"Supports cultural heritage, education, and arts institutions.",high,funds_partners_abroad,medium,claude-haiku-4-5
291167,1,No Poverty,4; 8,Builds livelihoods for marginalized communities in rural India.,high,operates_directly_abroad,high,claude-haiku-4-5
291224,16,"Peace, Justice and Strong Institutions",4,Advances Christian religion and moral education.,low,uk_fundraising_only,high,claude-haiku-4-5
291239,4,Quality Education,1; 5,Provides Buddhist education and supports marginalized communities.,high,uk_fundraising_only,high,claude-haiku-4-5
291296,16,"Peace, Justice and Strong Institutions",1,Advances Orthodox Jewish faith and relieves poverty.,low,uk_fundraising_only,high,claude-haiku-4-5
291330,4,Quality Education,,Promotes drama education and supports community theatre groups.,high,uk_fundraising_only,high,claude-haiku-4-5
291344,4,Quality Education,,Produces educational plays and promotes arts education.,high,uk_fundraising_only,high,claude-haiku-4-5
291373,4,Quality Education,1; 5,Provides Hindu cultural education and supports Asian community welfare.,high,uk_fundraising_only,high,claude-haiku-4-5
291459,16,"Peace, Justice and Strong Institutions",4,Supports Christian church work in East Africa.,medium,operates_directly_abroad,high,claude-haiku-4-5
291495,4,Quality Education,9,Advances education and standards in data processing profession.,high,uk_fundraising_only,high,claude-haiku-4-5
291522,16,"Peace, Justice and Strong Institutions",1,Makes charitable donations supporting Orthodox Jewish causes.,low,uk_fundraising_only,high,claude-haiku-4-5
291526,4,Quality Education,16,Funds Orthodox Jewish educational institutions in Israel.,medium,funds_partners_abroad,high,claude-haiku-4-5
291691,1,No Poverty,4,Provides international development and relief for marginalized communities.,high,operates_directly_abroad,high,claude-haiku-4-5
291818,1,No Poverty,3; 4,Fundraises for Subud Association development projects worldwide.,medium,funds_partners_abroad,medium,claude-haiku-4-5
291834,16,"Peace, Justice and Strong Institutions",1,Advances Orthodox Jewish faith and relieves poverty.,low,uk_fundraising_only,high,claude-haiku-4-5
291846,4,Quality Education,10,Funds educational programs strengthening Jewish identity and unity.,high,operates_directly_abroad,high,claude-haiku-4-5
